Revision,time(us),Enhancement,Change,block_size,compute per,memory per,Comments
0,453.34,=B2/B2,,1024,11.78,92.39,
1,453.06,=B3/B2*100,change block_size to 256,256,11.80,92.47,
2,497.98,=B4/B2*100,"reset black size to 1024.
Change MAX_THREADS to 65536.",1024,7.99,83.53,
3,475.97,=B5/B2*100,Change max_threads to 98304,,8.36,87.29,
4,453.95,=B6/B2*100,output vector add sum  to vector_sum,,,,
5,14490,=B7/B2*100,change length power to 29,,,,
6,,=B8/B2*100,non-caching mode-- fail,,,,
7,452.99,,int4. ,,2.98,92.66,
8,453.73,=B10/B2*100,delete extra multicycle control on device.,,11.71,92.5,
9,453.12,,7+8,,2.95,92.63,
,,,,,,,
20,10.24,,basic version. Vector length is 8192.,512,,,
21,10.88,,basic float4 version. manuall add per component.,512,,,
22,,,float4 add version.,512,,,
,,,,,,,
,,,,,,,
25,,,Total size power is 24.,,,,
